pagina,endereco,preco,area,quartos,banheiros,vagas,tipo,area_m2,preco_venda,qtd_quartos,qtd_vagas,preco_m2
1,"Casa de condomínio para comprar com 340 m², 4 quartos, 5 banheiros, 8 vagas em
Condomínio Residencial Mirante do Vale, Jacareí",R$ 2.400.000 Cond. R$ 852 • IPTU R$ 280,"Tamanho do imóvel
340 m²","Quantidade de quartos
4","Quantidade de banheiros
5","Quantidade de vagas de garagem
8",Casa,340.0,2400000.0,4.0,8.0,7058.823529411765
1,"Casa para comprar com 136 m², 3 quartos, 1 banheiro em
Conjunto São Benedito, Jacareí",R$ 450.000,"Tamanho do imóvel
136 m²","Quantidade de quartos
3","Quantidade de banheiros
1",,Casa,136.0,450000.0,3.0,,3308.823529411765
1,"Apartamento para comprar com 55 m², 2 quartos, 1 banheiro, 1 vaga em
Parque Santo Antônio, Jacareí",R$ 320.000 Cond. R$ 400 • IPTU R$ 40,"Tamanho do imóvel
55 m²","Quantidade de quartos
2","Quantidade de banheiros
1","Quantidade de vagas de garagem
1",Apartamento,55.0,320000.0,2.0,1.0,5818.181818181818
1,"Apartamento para comprar com 72 m², 2 quartos, 2 banheiros, 1 vaga em
Jardim Pereira do Amparo, Jacareí",R$ 550.000 Cond. R$ 350 • IPTU R$ 120,"Tamanho do imóvel
72 m²","Quantidade de quartos
2","Quantidade de banheiros
2","Quantidade de vagas de garagem
1",Apartamento,72.0,550000.0,2.0,1.0,7638.888888888889
1,"Apartamento para comprar com 97 m², 3 quartos, 3 banheiros, 2 vagas em
Centro, Jacareí",R$ 565.000 Cond. R$ 550 • IPTU R$ 80,"Tamanho do imóvel
97 m²","Quantidade de quartos
3","Quantidade de banheiros
3","Quantidade de vagas de garagem
2",Apartamento,97.0,565000.0,3.0,2.0,5824.742268041237
1,"Apartamento para comprar com 73 m², 2 quartos, 2 banheiros, 1 vaga em
Bairro do Colonia, Jacareí",R$ 400.000 Cond. R$ 450 • IPTU R$ 80,"Tamanho do imóvel
73 m²","Quantidade de quartos
2","Quantidade de banheiros
2","Quantidade de vagas de garagem
1",Apartamento,73.0,400000.0,2.0,1.0,5479.45205479452
1,"Apartamento para comprar com 45 m², 2 quartos, 1 banheiro, 1 vaga em
Jardim Paraíso, Jacareí",R$ 117.861,"Tamanho do imóvel
45 m²","Quantidade de quartos
2","Quantidade de banheiros
1","Quantidade de vagas de garagem
1",Apartamento,45.0,117861.0,2.0,1.0,2619.133333333333
1,"Apartamento para comprar com 61-62 m², 2 quartos, 2 banheiros, 1 vaga em
Pagador de Andrade, Jacareí",R$ 435.000 Cond. R$ 370 • IPTU R$ 60,"Tamanho do imóvel
61-62 m²","Quantidade de quartos
2","Quantidade de banheiros
2","Quantidade de vagas de garagem
1",Apartamento,61.0,435000.0,2.0,1.0,7131.147540983607
1,"Apartamento para comprar com 66 m², 3 quartos, 2 banheiros, 2 vagas em
Jardim Califórnia, Jacareí",R$ 455.000 Cond. R$ 1 • IPTU R$ 1,"Tamanho do imóvel
66 m²","Quantidade de quartos
3","Quantidade de banheiros
2","Quantidade de vagas de garagem
2",Apartamento,66.0,455000.0,3.0,2.0,6893.939393939394
1,"Casa para comprar com 103 m², 2 quartos, 2 banheiros, 2 vagas em
Parque dos Príncipes, Jacareí",R$ 380.000,"Tamanho do imóvel
103 m²","Quantidade de quartos
2","Quantidade de banheiros
2","Quantidade de vagas de garagem
2",Casa,103.0,380000.0,2.0,2.0,3689.3203883495144
